Species_group,BE_PlotID,PlotID,Pipistrellus_nathusii,Pipistrellus_pygmaeus,Pipistrellus_pipistrellus,Nyctalus_noctula,Eptesicus_nilssonii,Barbastella_barbastellus,Plecotus,Myotis_nattereri,Myotis_myotis
Bats,HEW10,HEW10,10,0,40,3,4,0,0,2,12
Bats,HEW15,HEW15,4,0,12,0,0,0,0,0,0
Bats,HEW16,HEW16,2,0,10,0,0,0,0,0,0
Bats,HEW22,HEW22,6,0,18,0,0,0,0,4,0
Bats,HEW23,HEW23,4,0,26,0,2,0,0,0,0
Bats,HEW24,HEW24,8,0,38,9,2,0,0,0,4
Bats,HEW30,HEW30,6,0,28,12,2,0,0,0,0
Bats,HEW31,HEW31,4,0,16,12,0,0,0,0,0
Bats,HEW32,HEW32,6,0,16,3,0,0,0,0,6
Bats,HEW33,HEW33,4,0,0,0,0,0,2,2,0
Bats,HEW34,HEW34,8,0,20,6,0,0,0,0,4
Bats,HEW35,HEW35,4,0,18,9,0,0,0,2,0
Bats,HEW38,HEW38,2,0,22,0,8,0,10,2,0
Bats,HEW39,HEW39,2,4,40,0,6,0,2,2,8
Bats,HEW4,HEW4,4,0,180,0,2,0,0,0,8
Bats,HEW40,HEW40,2,10,82,9,0,0,0,8,8
Bats,HEW43,HEW43,6,0,0,0,0,2,0,0,0
Bats,HEW44,HEW44,2,0,6,0,0,0,0,0,0
Bats,HEW45,HEW45,2,0,8,0,0,0,0,0,0
Bats,HEW46,HEW46,10,0,70,24,8,0,0,0,0
Bats,HEW47,HEW47,6,0,16,0,0,0,1,0,0
Bats,HEW49,HEW49,4,0,0,0,0,0,0,0,0
Bats,HEW6,HEW6,2,0,42,0,2,0,1,0,0
Bats,HEW7,HEW7,26,0,26,3,0,0,0,4,2
Bats,HEW8,HEW8,8,0,0,0,0,0,0,0,0
Bats,HEW9,HEW9,2,0,8,0,2,0,3,2,10
Bats,HEW20,HEW20,0,4,8,0,0,0,0,0,0
Bats,HEW37,HEW37,0,6,70,51,16,0,0,4,20
Bats,HEW1,HEW1,0,0,6,6,0,0,0,26,0
Bats,HEW11,HEW11,0,0,16,0,0,0,0,0,0
Bats,HEW12,HEW12,0,0,68,0,6,0,2,0,0
Bats,HEW13,HEW13,0,0,6,0,0,0,0,0,0
Bats,HEW14,HEW14,0,0,6,0,0,0,0,0,2
Bats,HEW17,HEW17,0,0,10,0,0,0,0,0,0
Bats,HEW19,HEW19,0,0,4,3,0,0,3,0,2
Bats,HEW2,HEW2,0,0,2,0,0,0,0,0,0
Bats,HEW21,HEW21,0,0,10,0,2,0,3,0,0
Bats,HEW26,HEW26,0,0,34,6,0,2,4,6,0
Bats,HEW28,HEW28,0,0,6,0,0,0,0,0,0
Bats,HEW29,HEW29,0,0,24,0,0,0,0,2,2
Bats,HEW3,HEW3,0,0,8,3,4,0,0,2,0
Bats,HEW36,HEW36,0,0,2,3,0,0,0,0,0
Bats,HEW41,HEW41,0,0,14,6,8,0,2,0,2
Bats,HEW42,HEW42,0,0,10,12,8,0,2,0,0
Bats,HEW48,HEW48,0,0,2,15,28,0,0,0,0
Bats,HEW5,HEW5,0,0,4,0,0,0,0,0,6
Bats,HEW50,HEW50,0,0,2,0,0,0,0,0,2
Bats,HEW27,HEW27,0,0,0,0,2,0,0,0,0
Bats,HEW18,HEW18,0,0,0,0,0,0,0,2,0
Bats,HEW25,HEW25,0,0,0,0,0,0,0,0,2
