EP,enl_2014,enl_2019,enl_2023,enl_abs_diff_2014_2019,enl_rel_diff_percent_2014_2019,enl_abs_diff_2019_2023,enl_rel_diff_percent_2019_2023
AEW1,14.84,16.8,16.63,1.96,13.19,-0.17,-1
AEW2,16.84,19.08,19.71,2.24,13.29,0.64,3.33
AEW3,17.46,19.32,20.71,1.86,10.64,1.39,7.2
AEW4,15.29,17.88,18.75,2.59,16.93,0.87,4.89
AEW5,21.41,11.34,8.19,-10.07,-47.03,-3.15,-27.77
AEW6,21.68,22.49,23.86,0.81,3.73,1.36,6.06
AEW7,14.61,18.63,16.33,4.02,27.5,-2.3,-12.35
AEW8,19.38,21.18,21.84,1.8,9.3,0.65,3.08
AEW9,18.34,19.94,20.87,1.6,8.73,0.93,4.65
AEW10,14.49,17.01,17.39,2.52,17.41,0.38,2.21
AEW11,18.24,19.81,19.54,1.57,8.63,-0.28,-1.39
AEW12,17.86,20.66,21.11,2.8,15.65,0.46,2.21
AEW13,21.29,21.01,21.81,-0.29,-1.35,0.8,3.8
AEW14,22.94,19.37,21.94,-3.57,-15.58,2.58,13.31
AEW15,7.89,10.81,12.08,2.92,36.96,1.27,11.79
AEW16,9.44,10.83,11.76,1.39,14.68,0.93,8.59
AEW17,13.79,16.58,17.33,2.79,20.24,0.74,4.49
AEW18,22.38,16.71,15.8,-5.67,-25.35,-0.9,-5.41
AEW19,16.2,17.08,18.71,0.88,5.44,1.63,9.54
AEW20,22.57,20.32,15.4,-2.25,-9.98,-4.92,-24.2
AEW21,10.4,8.85,10.93,-1.55,-14.91,2.09,23.57
AEW22,24.51,22.87,23.89,-1.63,-6.66,1.01,4.43
AEW23,15.05,13.98,13.37,-1.07,-7.09,-0.62,-4.4
AEW24,9.53,11.64,12.28,2.11,22.18,0.64,5.48
AEW25,7.36,10.48,12.02,3.12,42.36,1.55,14.76
AEW26,11.16,12.58,11.86,1.42,12.7,-0.72,-5.72
AEW27,9.28,12.33,13.32,3.05,32.88,1,8.08
AEW28,19.89,19.99,20.17,0.1,0.51,0.18,0.89
AEW29,19.48,18.88,21.66,-0.6,-3.09,2.78,14.72
AEW30,18.7,19.48,20.52,0.77,4.13,1.05,5.37
AEW31,14.77,16.54,17.16,1.77,11.99,0.62,3.75
AEW32,12.57,14.7,16.03,2.13,16.92,1.33,9.08
AEW33,14.26,17.03,17.06,2.77,19.44,0.02,0.14
AEW34,14.29,16.46,17.01,2.17,15.2,0.55,3.33
AEW35,5.89,8.63,11,2.74,46.49,2.38,27.57
AEW36,6.19,7.03,7.78,0.84,13.64,0.75,10.65
AEW37,11.29,8.47,8.13,-2.81,-24.94,-0.34,-4.02
AEW38,11.34,13.63,14.18,2.3,20.25,0.55,4.04
AEW39,18.15,18.12,19.2,-0.03,-0.18,1.08,5.95
AEW40,21.46,22.84,23.33,1.37,6.4,0.49,2.16
AEW41,23.26,23,25.64,-0.27,-1.15,2.64,11.49
AEW42,22.04,22.87,20.78,0.82,3.72,-2.08,-9.11
AEW43,14.87,12.96,12,-1.91,-12.86,-0.96,-7.39
AEW44,6.2,8.35,9.07,2.16,34.83,0.72,8.62
AEW45,10.3,9.73,13.27,-0.57,-5.53,3.54,36.38
AEW46,20.42,20.95,19.62,0.53,2.61,-1.34,-6.37
AEW47,18.43,18.99,20.15,0.56,3.02,1.15,6.08
AEW48,23.29,21.17,17.72,-2.12,-9.11,-3.45,-16.31
AEW49,12.5,13.12,12.8,0.62,4.95,-0.32,-2.47
AEW50,15.67,12.77,14.78,-2.9,-18.5,2.02,15.78
HEW1,22.31,24.18,24.24,1.87,8.38,0.06,0.26
HEW2,NA,NA,NA,NA,NA,NA,NA
HEW3,17.4,21.64,11.21,4.24,24.36,-10.43,-48.21
HEW4,4.16,7.5,8.92,3.34,80.32,1.42,18.89
HEW5,20.49,22.63,22.42,2.14,10.46,-0.21,-0.95
HEW6,24.98,26.07,25.12,1.09,4.36,-0.95,-3.64
HEW7,17.58,20.14,18.5,2.56,14.59,-1.64,-8.12
HEW8,14.21,18.81,21.09,4.59,32.32,2.28,12.15
HEW9,19.69,14.79,12.55,-4.9,-24.89,-2.23,-15.1
HEW10,20.44,21.23,22.53,0.79,3.84,1.3,6.14
HEW11,19.18,22.23,22.43,3.05,15.89,0.19,0.86
HEW12,23.73,24.59,25.39,0.86,3.64,0.8,3.23
HEW13,17.94,19.63,20.99,1.68,9.39,1.36,6.94
HEW14,22.79,7.07,8.84,-15.72,-68.96,1.77,24.98
HEW15,5.93,8.77,10.13,2.84,47.89,1.36,15.44
HEW16,9.53,12.15,14.5,2.63,27.56,2.34,19.27
HEW17,8.99,11.83,12.82,2.84,31.56,0.99,8.36
HEW18,12.6,15.82,15.59,3.22,25.55,-0.23,-1.43
HEW19,23.76,23.72,18.6,-0.04,-0.19,-5.12,-21.59
HEW20,22.36,22.79,21.01,0.43,1.91,-1.78,-7.81
HEW21,23.95,22.13,18.84,-1.81,-7.58,-3.3,-14.89
HEW22,21.72,14.97,9.4,-6.76,-31.11,-5.56,-37.18
HEW23,5.25,7.32,8.4,2.07,39.49,1.08,14.74
HEW24,12.7,9.81,9.65,-2.89,-22.75,-0.16,-1.62
HEW25,9.12,9.23,8.59,0.11,1.22,-0.64,-6.95
HEW26,19.38,21.24,20.66,1.86,9.6,-0.58,-2.73
HEW27,21,14.91,18.13,-6.1,-29.02,3.22,21.62
HEW28,17.33,15.13,15.95,-2.2,-12.71,0.82,5.45
HEW29,19.14,20.56,17.84,1.42,7.41,-2.73,-13.26
HEW30,17.83,20.23,20.03,2.4,13.47,-0.2,-0.99
HEW31,15.2,17.16,15.82,1.96,12.93,-1.34,-7.82
HEW32,13.46,15.17,13.06,1.71,12.72,-2.11,-13.91
HEW33,22.68,16.37,15.87,-6.31,-27.83,-0.5,-3.04
HEW34,18.69,21.16,21.79,2.46,13.19,0.64,3.01
HEW35,20.51,22.5,22.48,1.99,9.72,-0.02,-0.09
HEW36,14.93,16.38,15.69,1.45,9.72,-0.69,-4.22
HEW37,19.67,23.28,23.33,3.6,18.32,0.05,0.22
HEW38,20.56,23.02,23.24,2.46,11.98,0.22,0.97
HEW39,19.65,23.33,21.58,3.68,18.71,-1.75,-7.48
HEW40,19.58,22.67,22.56,3.09,15.77,-0.11,-0.47
HEW41,19.47,21.76,22.22,2.3,11.79,0.46,2.1
HEW42,22.5,24.19,25.23,1.69,7.52,1.04,4.31
HEW43,4.18,8.59,10.12,4.41,105.48,1.54,17.88
HEW44,5.1,8.6,8.45,3.5,68.63,-0.16,-1.8
HEW45,10.64,14,15.27,3.36,31.59,1.27,9.07
HEW46,20.7,22.78,23.99,2.09,10.08,1.21,5.32
HEW47,23.04,24.81,25.43,1.78,7.71,0.61,2.47
HEW48,14.9,13.18,11.43,-1.72,-11.54,-1.75,-13.28
HEW49,17.87,15.6,14.1,-2.26,-12.67,-1.5,-9.64
HEW50,15.37,18.04,19.36,2.67,17.37,1.31,7.27
HEW51,NA,NA,10.18,NA,NA,NA,NA
SEW1,10.34,13.21,14.01,2.88,27.82,0.79,6
SEW2,15.99,16.24,17.89,0.25,1.54,1.65,10.18
SEW3,15.42,19.59,11.21,4.18,27.09,-8.39,-42.8
SEW4,16.23,18.28,18.31,2.05,12.61,0.03,0.19
SEW5,21.82,26.81,24.87,4.99,22.86,-1.94,-7.23
SEW6,10.93,13.65,10.73,2.72,24.9,-2.92,-21.38
SEW7,20.19,23.18,24.57,3,14.85,1.38,5.97
SEW8,20.75,22.73,22.83,1.98,9.57,0.09,0.42
SEW9,22.53,23.02,24.63,0.49,2.18,1.61,7.01
SEW10,10.55,11.36,12.3,0.8,7.62,0.94,8.24
SEW11,10.01,11.61,11.89,1.6,16,0.27,2.36
SEW12,11.5,14.4,14.56,2.89,25.16,0.16,1.13
SEW13,14.82,16.11,16.81,1.29,8.73,0.7,4.37
SEW14,10,11.24,13.64,1.24,12.35,2.4,21.37
SEW15,13.95,13.53,16.3,-0.42,-3.03,2.77,20.48
SEW16,17.36,18.2,16.33,0.84,4.84,-1.87,-10.25
SEW17,17.16,16.46,17.63,-0.7,-4.05,1.17,7.09
SEW18,15.87,16.79,13.08,0.92,5.81,-3.71,-22.11
SEW19,10.66,11.58,11.49,0.92,8.64,-0.09,-0.79
SEW20,12.43,15.24,15.52,2.81,22.56,0.29,1.87
SEW21,20.96,19.74,21.05,-1.22,-5.8,1.31,6.65
SEW22,15.69,18.34,22.04,2.64,16.84,3.71,20.21
SEW23,17.75,19.61,20.87,1.87,10.51,1.25,6.39
SEW24,16.88,20.43,20.38,3.55,21.01,-0.05,-0.26
SEW25,17.31,18.79,18.22,1.49,8.58,-0.57,-3.02
SEW26,25.77,24.28,22.5,-1.48,-5.76,-1.79,-7.35
SEW27,16.88,25.01,19.28,8.13,48.19,-5.73,-22.9
SEW28,16.9,17.58,18.71,0.68,4.02,1.13,6.41
SEW29,17.25,22.62,21.15,5.36,31.09,-1.46,-6.47
SEW30,16.84,19.68,20.03,2.84,16.87,0.35,1.77
SEW31,18.03,18.99,15.82,0.96,5.35,-3.17,-16.7
SEW32,22.27,18.76,13.06,-3.51,-15.78,-5.7,-30.37
SEW33,16.46,17.86,15.87,1.4,8.51,-1.99,-11.14
SEW34,17.34,17.44,21.79,0.1,0.56,4.36,24.98
SEW35,17.06,21.81,22.48,4.76,27.88,0.67,3.07
SEW36,17.73,19.47,15.69,1.74,9.82,-3.78,-19.41
SEW37,21.5,23.1,23.33,1.6,7.43,0.23,0.99
SEW38,24.93,16.95,23.24,-7.98,-31.99,6.29,37.1
SEW39,11.78,11.48,21.58,-0.3,-2.58,10.11,88.09
SEW40,17.01,13.9,11.78,-3.12,-18.32,-2.12,-15.27
SEW41,10.15,10.16,11.63,0.01,0.1,1.47,14.47
SEW42,16.51,11.38,9.19,-5.14,-31.1,-2.18,-19.19
SEW43,10.77,8.18,8.9,-2.59,-24.08,0.72,8.8
SEW44,12.75,12.79,11.73,0.04,0.3,-1.06,-8.26
SEW45,16.91,18.54,19.92,1.64,9.68,1.38,7.43
SEW46,22.26,22.93,24.02,0.67,3.02,1.1,4.78
SEW47,24.63,25.85,25.8,1.21,4.93,-0.05,-0.18
SEW48,18.58,17.63,21.4,-0.96,-5.14,3.77,21.4
SEW49,19.84,21.26,18.41,1.41,7.13,-2.85,-13.41
SEW50,22.73,26.12,26.89,3.39,14.91,0.77,2.94
