"","n_Species","n_Individuals","Simpson_diversity_a","Evenness_simpson_a","PlotID","Species_group"
"1",6,71,0.682706355003652,0.381025671541607,"HEW10","bats"
"2",2,16,0.636678200692042,0.918532482780516,"HEW15","bats"
"3",2,12,0.627218934911243,0.904885646948107,"HEW16","bats"
"4",3,28,0.664176960643493,0.604559922999497,"HEW22","bats"
"5",3,32,0.614836266429049,0.559648087656509,"HEW23","bats"
"6",5,61,0.667989335978672,0.415045110356827,"HEW24","bats"
"7",4,48,0.6712,0.484168455722336,"HEW30","bats"
"8",3,32,0.677210960124749,0.61642398060717,"HEW31","bats"
"9",4,31,0.698347107438017,0.503750954359989,"HEW32","bats"
"10",3,8,0.731301939058172,0.665659711439017,"HEW33","bats"
"11",4,38,0.69125,0.498631473507248,"HEW34","bats"
"12",4,33,0.687755102040816,0.496110437530184,"HEW35","bats"
"13",5,44,0.697421667244768,0.433332445977983,"HEW38","bats"
"14",7,64,0.677750342935528,0.348294777775098,"HEW39","bats"
"15",4,194,0.543575593502707,0.392106906547315,"HEW4","bats"
"16",6,119,0.643341843590433,0.359055919412891,"HEW40","bats"
"17",2,8,0.666666666666667,0.961796693925976,"HEW43","bats"
"18",2,8,0.666666666666667,0.961796693925976,"HEW44","bats"
"19",2,10,0.644628099173554,0.930001761895365,"HEW45","bats"
"20",4,112,0.649892274546014,0.468798180799792,"HEW46","bats"
"21",3,23,0.653894210745523,0.595200160684771,"HEW47","bats"
"22",1,4,0.592592592592593,NA,"HEW49","bats"
"23",4,47,0.583715118700541,0.421061453520592,"HEW6","bats"
"24",5,61,0.682125364250729,0.423828318558178,"HEW7","bats"
"25",1,8,0.55363321799308,NA,"HEW8","bats"
"26",6,27,0.736111111111111,0.410831433433557,"HEW9","bats"
"27",2,12,0.662721893491124,0.956105589228189,"HEW20","bats"
"28",6,167,0.68742214532872,0.383657604234614,"HEW37","bats"
"29",3,38,0.647332158307963,0.589227123148922,"HEW1","bats"
"30",1,16,0.528925619834711,NA,"HEW11","bats"
"31",3,76,0.565078043704474,0.514356201485367,"HEW12","bats"
"32",1,6,0.568047337278107,NA,"HEW13","bats"
"33",2,8,0.666666666666667,0.961796693925976,"HEW14","bats"
"34",1,10,0.54421768707483,NA,"HEW17","bats"
"35",4,12,0.747448979591837,0.539170468087329,"HEW19","bats"
"36",1,2,0.64,NA,"HEW2","bats"
"37",3,15,0.681359044995409,0.620199730171821,"HEW21","bats"
"38",5,52,0.665263866677889,0.413351681067181,"HEW26","bats"
"39",1,6,0.568047337278107,NA,"HEW28","bats"
"40",3,28,0.604424016087331,0.550170448958019,"HEW29","bats"
"41",4,17,0.724376731301939,0.522527358992332,"HEW3","bats"
"42",2,5,0.708333333333333,1.02190898729635,"HEW36","bats"
"43",5,32,0.715816005040958,0.444761490648846,"HEW41","bats"
"44",4,32,0.707612456747405,0.510434491110369,"HEW42","bats"
"45",3,45,0.647704936986935,0.589566440925372,"HEW48","bats"
"46",2,10,0.677685950413223,0.977694159941281,"HEW5","bats"
"47",2,4,0.72,1.03874042944005,"HEW50","bats"
"48",1,2,0.64,NA,"HEW27","bats"
"49",1,2,0.64,NA,"HEW18","bats"
"50",1,2,0.64,NA,"HEW25","bats"
