"","PlotID","n_Species","n_Individuals","Simpson_diversity_a","Evenness_simpson_a"
"1","HEW1",22,84,0.713894145057723,0.42714409410199
"2","HEW10",24,113,0.732933338978181,0.325990274064547
"3","HEW11",9,49,0.637910582013776,0.359180832556359
"4","HEW12",16,117,0.66558611326498,0.406517147261651
"5","HEW13",11,49,0.657613078361275,0.324495638279708
"6","HEW14",13,42,0.718367782940768,0.641470184263495
"7","HEW15",19,57,0.710033825374079,0.597517293274435
"8","HEW16",12,44,0.69235307592896,0.61692908269015
"9","HEW17",14,33,0.664237542187228,0.305759408082733
"10","HEW18",9,22,0.699340277777778,0.364848225039628
"11","HEW19",20,66,0.758610025696022,0.408403347531908
"12","HEW2",17,57,0.701771227009322,0.275389727980222
"13","HEW20",15,52,0.714873491548429,0.627573308025876
"14","HEW21",16,57,0.724779851969487,0.459849538838501
"15","HEW22",15,62,0.718807230321747,0.45790703506929
"16","HEW23",15,59,0.69515918004648,0.435862519907441
"17","HEW24",22,108,0.721625542106697,0.344339245997187
"18","HEW25",11,35,0.70452216066482,0.333991705092494
"19","HEW26",19,95,0.719231933338945,0.353167542574925
"20","HEW27",10,32,0.703532871245536,0.349106664108508
"21","HEW28",14,37,0.673712557527942,0.303856984743398
"22","HEW29",16,72,0.685801852176594,0.424635874676858
"23","HEW3",17,53,0.744610510979689,0.41035907750714
"24","HEW30",18,87,0.722651039697543,0.388746839299765
"25","HEW31",16,66,0.726960913685298,0.459620606810255
"26","HEW32",16,61,0.735554726558515,0.40736669970639
"27","HEW33",17,54,0.752265423071272,0.479327034543035
"28","HEW34",17,73,0.73465098345188,0.400985781357112
"29","HEW35",18,68,0.731207482993197,0.394823508951973
"30","HEW36",12,32,0.739664713541667,0.678374168190468
"31","HEW37",21,215,0.725904076478985,0.332960973027236
"32","HEW38",18,97,0.728909972101305,0.364894934551232
"33","HEW39",22,113,0.723321878335961,0.316111783311154
"34","HEW4",14,217,0.658905143690129,0.364176380898194
"35","HEW40",19,149,0.712738664336031,0.33199402746844
"36","HEW41",16,74,0.739293044071725,0.381430661255975
"37","HEW42",18,81,0.738133396741049,0.400847719002829
"38","HEW43",10,32,0.713754251700681,0.663842137755987
"39","HEW44",13,44,0.716552958823245,0.64071334382175
"40","HEW45",12,35,0.709258494031221,0.633048717973024
"41","HEW46",12,141,0.700290489890087,0.414901569115342
"42","HEW47",13,46,0.712788942107456,0.465169060923678
"43","HEW48",17,91,0.709487925951638,0.440909434975196
"44","HEW49",13,43,0.680370370370371,0.309125555365906
"45","HEW5",9,30,0.718200150399007,0.683798103468083
"46","HEW50",15,53,0.742923464004545,0.668661062467411
"47","HEW6",15,79,0.677457559350271,0.371338416893485
"48","HEW7",18,101,0.727234493895512,0.362471444414859
"49","HEW8",12,31,0.667398326448063,0.325770455350796
"50","HEW9",19,71,0.753115843762594,0.355539650776873
